Id,Nombre,Seleccion,Posicion,MinutosJugados,Goles,Asistencias,TarjetasAmarillas,TarjetasRojas,PartidosJugados
J001,Carlos Mendez,Argentina,Delantero,540,7,3,1,0,6
J002,Lucas Fernandez,Brasil,Delantero,610,6,4,2,0,7
J003,Marco Rossi,Italia,Mediocampista,580,2,8,3,0,7
J004,Diego Herrera,Guatemala,Delantero,420,4,1,0,0,5
J005,Kevin Owusu,Ghana,Defensa,630,1,2,4,1,7
J006,Yuki Tanaka,Japon,Mediocampista,560,3,6,1,0,6
J007,Erik Johansson,Suecia,Portero,700,0,0,0,0,7
J008,Ahmed Hassan,Egipto,Defensa,500,1,0,2,0,6
J009,Tom Wilson,Inglaterra,Mediocampista,590,5,5,2,0,7
J010,Paulo Silva,Portugal,Delantero,650,8,2,1,0,7
